flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_central
873 YISHUN ST 81,Naval Base Primary School,0.2701826065894233,9,Chong Pang Market & Food Centre,2.089309766463218,0,KHATIB MRT STATION,0.5325377711054655,2,0.2617266885368677,13,14.527484130589901
815 TAMPINES AVE 4,Junyuan Primary School,0.20976289868744102,22,Market Street Food Centre,0.8174675222418346,2,TAMPINES WEST MRT STATION,0.23103953810211109,5,0.34681321476766697,18,11.849529178212078
207D COMPASSVALE LANE,North Vista Primary School,0.2520990159136974,23,Kovan Market & Food Centre,3.0706955192214402,0,RANGGUNG LRT STATION,0.05116215105938012,16,0.2767841408398197,14,12.212491548700754
615 BT PANJANG RING RD,West View Primary School,0.28411089697171815,13,Bukit Timah Market,5.2594783849105475,0,SENJA LRT STATION,0.27151631498391093,16,0.2471093151464777,12,14.929330525145586
270C PUNGGOL FIELD,Punggol Green Primary School,0.2777462253609763,25,Kovan Market & Food Centre,5.198635198612126,0,SOO TECK LRT STATION,0.20370162476911613,21,0.2562716546495165,17,14.299212515337679
168 HOUGANG AVE 1,Xinghua Primary School,0.6517825897888467,4,Kovan Market & Food Centre,0.8610826223443713,2,KOVAN MRT STATION,1.0196490314207869,5,0.21425892672601754,10,8.633953584952799
512 BT BATOK ST 52,Lianhua Primary School,0.16054127302490162,8,Market Street Food Centre,2.024503033344679,0,BUKIT GOMBAK MRT STATION,0.5372893214086649,3,0.5920567797296672,16,13.424717555230997
355 CLEMENTI AVE 2,Pei Tong Primary School,0.2901020773629022,7,Blk 353 Clementi Ave 2,0.15101825291504378,3,CLEMENTI MRT STATION,0.47598910761212915,2,0.20089346542766862,16,9.7092875221785
829 WOODLANDS ST 83,Woodlands Primary School,0.34587171972775316,20,Blks 20/21 Marsiling Lane,1.529714052210318,2,WOODLANDS MRT STATION,0.4566564751280849,5,0.37767480314082785,15,18.478287213518385
28 TIONG BAHRU RD,Zhangde Primary School,0.4903865446460492,7,Tiong Bahru Market,0.22804269979102523,21,TIONG BAHRU MRT STATION,0.37905951870091437,10,0.15542020699048376,26,2.348825828375564
66 LOR 4 TOA PAYOH,Pei Chun Public School,0.44195740419679264,13,Blk 75 Toa Payoh Lorong 5,0.17295025636628128,5,TOA PAYOH MRT STATION,0.5444662221859559,7,0.17774931555107412,20,5.6270854390468985
325 TAH CHING RD,Lakeside Primary School,0.6192897134836202,9,Taman Jurong Market & Food Centre,0.22100554519536883,4,LAKESIDE MRT STATION,0.9459096897850569,3,0.3348292388815127,15,15.388024320077898
130 ANG MO KIO AVE 3,Ang Mo Kio Primary School,0.34722513605682265,10,Blk 724 Ang Mo Kio Ave 6,0.5534332195150122,3,ANG MO KIO MRT STATION,0.8556411665431848,2,0.17232050278401492,12,9.598745755838396
